id,date,obs_type,org_id,category,description,resolved
b271c567-95de-4731-bb2a-1f64ef7a52f3,2021-03-28,Хорошая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 0,просрочено
61b0b4bc-22d4-4624-bf96-5bedc63ed86b,2021-09-01,Хорошая практика,ORG-C,СИЗ,Синтетическое наблюдение Коргау 1,в работе
211685c6-2d51-4a3f-ad33-d590dea4c988,2023-03-17,Плохая практика,ORG-B,СИЗ,Синтетическое наблюдение Коргау 2,Устранено
057d5a62-14d2-42d5-af09-ed92a706a172,2023-08-30,Плохая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 3,просрочено
14b2b624-5a5f-477a-91fe-cc031040f8ab,2022-06-14,Плохая практика,ORG-A,ОТ,Синтетическое наблюдение Коргау 4,Устранено
81bd11f3-e5db-4d9d-8840-fc713f4f7e59,2021-02-25,Плохая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 5,просрочено
2da35960-81a0-4bd2-885d-28fe869bf8e9,2022-08-19,Хорошая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 6,в работе
1de207b8-9f0e-4dda-9e6c-fd95212f9ff0,2021-07-25,Плохая практика,ORG-D,СИЗ,Синтетическое наблюдение Коргау 7,Устранено
e883ef59-4954-4f7b-9797-69b932304064,2023-11-21,Хорошая практика,ORG-A,ОТ,Синтетическое наблюдение Коргау 8,в работе
a49ef7f4-16e0-41a0-9766-1e748f69687d,2021-06-28,Плохая практика,ORG-B,СИЗ,Синтетическое наблюдение Коргау 9,просрочено
b55a0503-8d2c-4e47-88eb-dba05f727f6b,2022-07-01,Плохая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 10,Устранено
6f6e9cd3-ed71-4318-9bb8-2d3ce65a7027,2021-10-24,Хорошая практика,ORG-C,ОТ,Синтетическое наблюдение Коргау 11,просрочено
384b00bf-d0ea-4a1e-ba4c-63a9f7f3180c,2022-12-17,Хорошая практика,ORG-C,ПБ,Синтетическое наблюдение Коргау 12,просрочено
bb7b0641-a598-42c4-96a3-381bfbfc4691,2021-04-27,Хорошая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 13,просрочено
